instrument,date,dow,day_open,day_close,day_high,day_low,prev_close,pdh,pdl,gap_pct,gap_type,gap_bucket,inside_day,outside_day,prev_inside,broke_pdh,broke_pdl,broke_pd_both,broke_pd_none,broke_pd_first,first15_bull,first30_bull,first60_bull,orb_high,orb_low,orb_range,orb_close,orb_close_above_mid,orb_close_loc,orb_first_side,orb_high_break,orb_low_break,orb_both_break,orb_one_side,orb_no_break,orb_break_first,orb_break_count,orb_up_ext,orb_dn_ext,orb_up_retr,orb_dn_retr,ib_high,ib_low,ib_range,ib_close,ib_close_above_mid,ib_close_loc,ib_first_side,ib_high_break,ib_low_break,ib_both_break,ib_one_side,ib_no_break,ib_break_first,ib_break_count,ib_up_ext,ib_dn_ext,ib_up_retr,ib_dn_retr
NIFTY 50,2015-02-11,Wednesday,8603.3,8629.6,8651.9,8594.05,8551.900390625,8646.150390625,8472.0498046875,0.6010000109672546,Gap Up,+0.5% to +1%,False,False,False,True,False,False,False,pdh,True,True,True,8619.95,8601.45,18.5,8607.7,False,0.3378,low,True,True,True,False,False,low,2,1.727,0.4,1.399999976158142,2.7269999980926514,8619.95,8595.15,24.8,8609.85,True,0.5927,high,True,True,True,False,False,high,2,1.2883000373840332,0.04439999908208847,1.0443999767303467,2.288300037384033
NIFTY 50,2015-02-12,Thursday,8676.95,8718.6,8725.95,8599.4,8629.599609375,8651.900390625,8594.0498046875,0.5490000247955322,Gap Up,+0.5% to +1%,False,False,False,True,False,False,False,pdh,False,False,False,8681.4,8646.65,34.75,8651.7,False,0.1453,high,True,True,True,False,False,low,2,1.282,1.3597,0.23739999532699585,2.2820000648498535,8681.4,8623.2,58.2,8634.4,False,0.1924,high,True,True,True,False,False,low,2,0.765500009059906,0.4088999927043915,0.14180000126361847,1.7654999494552612
NIFTY 50,2015-02-13,Friday,8741.5,8807.4,8821.7,8730.0,8718.599609375,8725.9501953125,8599.400390625,0.2630000114440918,Gap Up,+0.2% to +0.5%,False,False,False,False,False,False,True,none,True,True,True,8752.5,8730.0,22.5,8747.95,True,0.7978,low,True,False,False,True,False,high,1,3.0756,-0.2533,0.7466999888420105,,8766.55,8730.0,36.55,8754.4,True,0.6676,low,True,False,False,True,False,high,1,1.5089000463485718,-0.15600000321865082,0.2750000059604645,
NIFTY 50,2015-02-16,Monday,8831.4,8800.15,8869.95,8799.15,8807.400390625,8821.7001953125,8730.0,0.2720000147819519,Gap Up,+0.2% to +0.5%,False,False,False,True,False,False,False,pdh,True,True,True,8861.5,8825.4,36.1,8855.4,True,0.831,low,True,True,True,False,False,high,2,0.2341,0.7272,1.7272000312805176,0.8421000242233276,8869.95,8825.4,44.55,8861.95,True,0.8204,low,False,True,False,True,False,low,1,-0.013500000350177288,0.5892000198364258,,0.6823999881744385
NIFTY 50,2015-02-18,Wednesday,8811.55,8867.25,8893.9,8810.05,8800.150390625,8869.9501953125,8799.150390625,0.12999999523162842,Flat,0 to +0.2%,False,False,False,True,False,False,False,pdh,True,True,True,8840.8,8810.05,30.75,8827.35,True,0.5626,low,True,False,False,True,False,high,1,1.7268,-0.3935,0.19189999997615814,,8851.5,8810.05,41.45,8850.65,True,0.9795,low,True,False,False,True,False,high,1,1.0228999853134155,-0.5995000004768372,0.40049999952316284,
NIFTY 50,2015-02-19,Thursday,8883.05,8900.05,8908.15,8794.55,8867.25,8893.900390625,8810.0498046875,0.17800000309944153,Gap Up,0 to +0.2%,False,True,False,True,True,True,False,pdh,True,True,True,8902.55,8880.85,21.7,8888.1,False,0.3341,high,True,True,True,False,False,low,2,0.2581,3.9769,0.1289999932050705,1.2581000328063965,8902.55,8879.25,23.3,8894.6,True,0.6588,high,True,True,True,False,False,low,2,0.24040000140666962,3.635200023651123,0.12020000070333481,1.240399956703186
NIFTY 50,2015-02-20,Friday,8895.5,8834.8,8895.5,8816.5,8900.0498046875,8908.150390625,8794.5498046875,-0.050999999046325684,Flat,0 to -0.2%,True,False,False,False,False,False,True,none,False,False,False,8895.5,8848.5,47.0,8853.95,False,0.116,high,False,True,False,True,False,low,1,-0.1149,0.6809,,0.8851000070571899,8895.5,8816.5,79.0,8835.8,False,0.2443,high,False,False,False,False,True,none,0,-0.06840000301599503,-0.1956000030040741,,
NIFTY 50,2015-02-23,Monday,8856.85,8756.35,8868.9,8748.8,8834.7998046875,8895.5,8816.5,0.25,Gap Up,+0.2% to +0.5%,False,False,True,False,True,False,False,pdl,False,True,False,8867.7,8839.2,28.5,8853.3,False,0.4947,low,True,True,True,False,False,high,2,0.0421,3.1719,4.171899795532227,0.5929999947547913,8868.9,8839.2,29.7,8842.05,False,0.0959,low,False,True,False,True,False,low,1,-0.26269999146461487,3.043800115585327,,0.5690000057220459
NIFTY 50,2015-02-24,Tuesday,8772.9,8766.0,8800.5,8727.25,8756.349609375,8868.900390625,8748.7998046875,0.1889999955892563,Gap Up,0 to +0.2%,False,False,False,False,True,False,False,pdl,False,False,False,8775.25,8746.5,28.75,8762.05,True,0.5409,high,True,True,True,False,False,high,2,0.8783,0.6696,1.669600009918213,1.8782999515533447,8775.7,8746.5,29.2,8755.55,False,0.3099,low,True,True,True,False,False,high,2,0.8493000268936157,0.6592000126838684,1.6591999530792236,1.8493000268936157
NIFTY 50,2015-02-25,Wednesday,8802.65,8772.8,8840.5,8751.65,8766.0,8800.5,8727.25,0.4180000126361847,Gap Up,+0.2% to +0.5%,False,False,False,True,False,False,False,pdh,True,True,True,8830.5,8798.6,31.9,8828.35,True,0.9326,low,True,True,True,False,False,high,2,0.3135,1.4717,2.4716999530792236,0.30410000681877136,8840.5,8798.6,41.9,8816.2,False,0.4201,low,False,True,False,True,False,low,1,-0.18379999697208405,1.1204999685287476,,0.23149999976158142
